title,companyName,location,description,experienceLevel,contractType,sector,postedDate,python_mentioned,sql_mentioned,excel_mentioned,power bi_mentioned,tableau_mentioned,r_mentioned,machine learning_mentioned,communication_mentioned,aws_mentioned,azure_mentioned
"analyst-data analytics (python, sql)",American Express,"Gurugram, Haryana, India","At American Express, our culture is built on a 175-year history of innovation, shared values and Leadership Behaviors, and an unwavering commitment to back our customers, communities, and colleagues. As part of Team Amex, you'll experience this powerful backing with comprehensive support for your holistic well-being and many opportunities to learn new skills, develop as a leader, and grow your career.Here, your voice and ideas matter, your work makes an impact, and together, you will help us define the future of American Express.Function Description:The Analytics, Investment Optimization and Marketing Enablement (AIM) team – a part of Global Commercial Services Marketing group within American Express – is the analytical engine that enables the Global Commercial Card & Non-Card business. This role, based out of Gurugram, will be a part of the AIM team and will be responsible for Global Commercial Beyond Card Analytics. The team is responsible for cross-sell and engagement analytics for beyond card products across the SME and MM segment. The incumbent would be responsible for analytics solutions that would shape customer acquisitions and an organic growth roadmap. The role requires a strong background in data analytics and commercial card knowledge. The position is part of a highly collaborative environment, interacting with and influencing partners across the Global Commercial Service’s business at American Express.Key Responsibilities include:Spearheading analytics to drive beyond the card strategies comprising cross-sell and engagementDrive multiple US SME strategic growth priorities like BLOC, BCA, Blueprint, and AP AutomationSupport and enable the GCS product partners with actionable, insightful analytical solutions to help the leadership team evaluate and drive business performance.Partner with functional leaders, Strategic Business Partners and Senior leaders to assess and find opportunities for better customer engagement, and revenue growthExcellent communication skills with the ability to engage, influence, and encourage partners and stakeholders to drive collaboration and alignment.Outstanding execution skills – be able to resolve issues, find opportunities, and define success metrics and make things happen. Drive Automation and ongoing refinement of analytical frameworks.Willingness to challenge the status quo; breakthrough thinking to generate insights, alternatives and opportunities for business success.QualificationsDegree in quantitative field (e.g. Finance, Engineering, Mathematics, Computer Science or Economics).Strong technical and analytical skills with the ability to apply both quantitative methods and business skills to build insights and drive results.Ability to work independently and across a matrix organization partnering with business partners, functional owners, capabilities, technology teams and external vendors.Strong programming skills are preferred. Experience with Big Data programming is a plus.Ability to prioritize and lead several concurrent projects through collaboration across teams/geographies.We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:Competitive base salaries Bonus incentives Support for financial well-being and retirement Comprehensive medical, dental, vision, life insurance, and disability benefits (depending on location) Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need Generous paid parental leave policies (depending on your location) Free access to global on-site wellness centers staffed with nurses and doctors (depending on location) Free and confidential counseling support through our Healthy Minds program Career development and training opportunitiesAmerican Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law. Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.",Entry level,Full-time,Financial Services,2025-05-29T00:00:00.000Z,0,0,1,0,0,1,0,1,1,0
data analyst,Lenovo,"Gurgaon, Haryana, India","We are Lenovo. We do what we say. We own what we do. We WOW our customers.Lenovo is a US$57 billion revenue global technology powerhouse, ranked #248 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a full-stack portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services. Lenovo’s continued investment in world-changing innovation is building a more equitable, trustworthy, and smarter future for everyone, everywhere. Lenovo is listed on the Hong Kong stock exchange under Lenovo Group Limited (HKSE: 992) (ADR: LNVGY).This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit www.lenovo.com, and read about the latest news via our StoryHub.DATA ANALYSTLenovo is not just another technology company. We make the technology that powers the world’s best ideas. We design tools for those who are driven by accomplishment. We are the company that powers the people who Do. The engine that helps them Do more. Do better. Do what’s never been done. And we are united in the quest to help our users defy the impossible.We are looking for driven individuals who thrive in a truly global and culture… …..come put your career on the fast track with the fastest growing PC company in the world!!Lenovo…. For Those Who Do.Lenovo is seeking a Data Analyst to support the Internal Audit function.Primary ResponsibilitiesThis position will play a pivotal role in building and growing the data analytics capabilities in Internal Audit at Lenovo. The primary role of the Data Analyst is to identify, design and develop data analytics routines to support audit activities performed by the Internal Audit team. Maintain an effective system of data analytics and models which provide enhanced insight into risks and controls, establishes an efficient/automated means to analyze and test large volumes of data for outliers, anomalies, patterns, and trends, and helps evaluate the adequacy and effectiveness of controls. Create repeatable data analytics to support continuous audit monitoring programs.Identify, design, and develop data analytics extract routines to support all phases of audit activities performed by the Internal Audit team, including risk assessment, planning, and scoping, testing and reporting.Manage data extraction, storage, transformation, and processing through data analytics routines, and generate output for visualization/analysis by the Internal Audit team.Identify and develop innovative and re-usable analytics solutions to drive auditor self-service.Use data analysis tools to automate audit testing and develop techniques for continuous auditing and analyzing large volumes of data.Interact with management and business partners to identify appropriate data sources and data elements required for analytics, applying professional skepticism when assessing data sources and validating the completeness and accuracy of data received.Transfer appropriate knowledge to the Data Champions and wider Internal Audit team in relation to data, systems, and data analytics queriesInteract and collaborate with Internal Audit team members in working towards departmental goals.Execute on special projects and other assignments as requested by management.Project ManagementBe exceptionally skilled at identifying, prioritizing, and articulating, applying effective methods of audit testing and data analysis. Work independently on all aspects of audit engagements. Prepare complete and meticulous audit work products consistently, including preparation of data sheets and work papers within standard time frames without reminders. Proactively reviews work products of others in area of responsibility, provides highly constructive critical feedback, and takes appropriate corrective actions. Maintain excellent relationship with clients and act in a professional manner. Independently develops and implements solutions to problems. Consistently seeks opportunities to support objectives through individual and team efforts.Communication CollaborationRegularly deals with managers/senior managers/executives within the organization. Communicates confidently in a clear, concise and articulate manner, providing relevant facts to the client, team leader, and management. Alert management when concerns arise. Offer recommendations or solutions to problems.Business AcumenBe accountable to contribute to projects involving multi-functional teams. May regularly participate in overall functional projects. Make leadership and review-related decisions promptly and effectively. Understand the business and complexities of the environment, appreciate the struggles of balancing resources and company priorities, and propose solutions based on cost/benefit analysis. Actively seeks opportunities to add value, insight and facilitate business collaborations.Contribution / LeadershipIndependently identify, plan, and execute projects. Assist team leaders to complete phases of an audit from planning and risk assessment to testing and communication of results to achieve audit objectives. Anticipates problems or changes in plans and reviews, and recommends appropriate solutions. Consistently takes personal responsibility for the success of mentored team members and others.Position RequirementsBachelor’s degree in business, mathematics, computer science, or management information systems.3-5 years of relevant/recent data analysis experience in audit, financial, risk management, or technology functions.Strong quantitative, analytical, data-intuition, and problem-solving skills, and proficiency in data analytics techniques.Strong knowledge and proficiency in extraction and analysis of data from a wide variety of data sources, data analysis tools (PowerBI preferred), process mining, Alteryx/KNIME, SQL, visualization tools, R, python, etc.Preferred knowledge and experience in the manufacturing, high tech industries.Experience building and supporting continuous audit monitoring programs.Working knowledge of internal controls and auditing techniques.Strong communication and relationship building skills.Must be open to travel (upto 20%)Optional Certifications: CIA, CISAWe are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, national origin, status as a veteran, and basis of disability or any federal, state, or local protected class.",Entry level,Full-time,IT Services and IT Consulting,2025-05-13T00:00:00.000Z,1,1,1,0,0,1,0,1,0,0
data analyst,Chevron,"Bengaluru, Karnataka, India","About The PositionA Data Analyst is responsible for gathering, analyzing and problem solving as it relates to data, types of data, and relationships among data elements within a business system or IT system and with business domain expertise. A Data Analyst provides expertise on how Business workflows map to data, and how data can be integrated to build reusable data products. A Data analyst will serve as a subject matter expert for delivery teams.The Data Analyst will support the analysis and visualization of data to provide valuable insights that drive business decisions. This role requires a strong understanding of data processing, reporting, and visualization tools, as well as a good working knowledge of Microsoft Azure Services and Power Platform. The ideal candidate will have hands-on experience with data modeling, creating dashboards, and leveraging cloud technologies for data management.Key Responsibilities Analyze data to extract meaningful insights, trends, and patterns that can support decision-making across the organization. Develop and maintain dashboards and visualizations using Power BI, Spotfire, and Tableau to present data insights in an easy-to-understand format for stakeholders. Work with Azure Synapse Analytics, Azure Data Lake, and Azure SQL Database to store, transform, and retrieve data efficiently. Assist in data preparation, cleaning, and integration activities for analysis, ensuring high data quality. Collaborate with data engineers, business stakeholders, and IT teams to understand data requirements and contribute to the delivery of data-driven solutions. Leverage Power Platform tools to automate tasks, create workflows, and enhance data analysis processes. Provide support for ongoing analysis and maintain documentation for data processes, reports, and dashboards.Required Qualifications Experience: Overall 2-4 years of experience with 2 years of proven experience in data analysis, data visualization, or related fields. Bachelor's degree in Data Analytics, Computer Science, Statistics, or a related field (or equivalent experience).0-5 years experience Technical Skills: Proficiency in Microsoft Azure services, including Azure Synapse Analytics, Azure Data Lake, and Azure SQL Database. Experience in data visualization tools such as Power BI, Spotfire, and Tableau. Strong skills in data manipulation and transformation using SQL. Familiarity with the Microsoft Power Platform, including Power Apps, Power Automate, and Power BI. Proficiency in data visualization tools such as Power BI, Spotfire, Tableau.Data modeling techniques, data fluency and governance. Proficiency in Oil & gas workflows and data types Data Analysis: Understanding of data analysis concepts and experience in data modeling and building insightful reports. Problem Solving: Strong analytical and problem-solving skills, with attention to detail. Communication Skills: Ability to communicate complex data findings in a clear and concise manner to non-technical stakeholders. Team Collaboration: Ability to work effectively as part of a team, sharing knowledge, and supporting other team members. Excellent communication and collaboration skills with demonstrated ability to build trusted working relationships with remote peers and stakeholders (internal & external parties) across global teams and time zones. Strong knowledge of Microsoft Azure Services & Power Platform, including Azure Synapse Analytics, Azure Data Lake, and Azure SQL Database. Experience with SQL and data querying languages. Experience with Python for data wrangling. Strong analytical and problem-solving skills with attention to detail and accuracy Fundamental knowledge of Information Risk Management (IRM).Preferred Qualifications Microsoft Power BI Data Analyst certification (PL-300) Ability to discover and prepare datasets into clean, understandable, usable, datasets for data analysis. Cloud Certifications: Certifications in Microsoft Azure (e.g., Azure Data Fundamentals, Azure Data Engineer Associate) are preferred. Experience with ETL Tools: Exposure to ETL tools and data integration techniques. Advanced Analytics: Experience or knowledge of machine learning or advanced analytics is a plus. Scripting Languages: Basic understanding of scripting languages such as Python or R for data analysis.Chevron ENGINE supports global operations, supporting business requirements across the world. Accordingly, the work hours for employees will be aligned to support business requirements. The standard work week will be Monday to Friday. Working hours are 8:00am to 5:00pm or 1.30pm to 10.30pm.Chevron participates in E-Verify in certain locations as required by law.",Entry level,Full-time,Oil and Gas,2025-05-22T00:00:00.000Z,1,1,1,1,1,1,1,1,0,1
data analyst,Reliance Industries Limited,"Jamnagar, Gujarat, India","Company OverviewOur motto ""Growth is Life"" aptly captures the ever-evolving spirit of Reliance. Our activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail, and telecommunications. We are committed to innovation-led, exponential growth, achieving global leadership in many areas, including as the largest polyester yarn and fiber producer in the world. A Fortune 500 company, Reliance Industries Limited is the largest private sector corporation in India. Our headquarters are located in Navi Mumbai, Maharashtra.Job OverviewWe are seeking a mid-level Data Analyst to join our team in Jamnagar. This is a full-time position that involves utilizing statistical tools and programming languages to analyze data sets, interpret trends, and provide actionable insights to drive business decisions. The ideal candidate will have proficiency in statistical analysis, Python programming, and data visualization.Qualifications And SkillsProficiency in statistical analysis (Mandatory skill)Strong knowledge of Python programming for data analysis purposes (Mandatory skill)Experience with data visualization tools such as Tableau or Power BI (Mandatory skill)Experience in machine learning and its applications in data analysisAbility to develop predictive models to forecast business metricsExperience working with big data technologies and platformsProficiency in SQL for data querying and manipulationExperience in data mining and transforming raw data into useful business insightsRoles And ResponsibilitiesAnalyze large data sets using statistical techniquesIdentify trends, patterns, and anomalies within data to provide actionable insightsDevelop, implement and maintain automated reporting processesCollaborate with cross-functional teams to understand business requirements and provide data-driven solutionsCreate and maintain documentation for data analysis processes and methodologiesAssist in the design and implementation of data models and data mining techniquesCommunicate complex data findings to non-technical stakeholders in an understandable waySupport continuous improvement initiatives by providing data-based recommendations for processes and operations",Director,Full-time,Oil and Gas,2025-05-14T00:00:00.000Z,1,1,0,1,1,1,1,1,0,0
data analyst,noon,"Delhi, India","About noonnoon, the region's leading consumer commerce platform. On December 12th, 2017, noon launched its consumer platform in Saudi Arabia and the UAE, expanding to Egypt in February 2019. The noon ecosystem of services now includes marketplaces for food delivery, quick-commerce, fintech, and fashion. noon is a work in progress; we’re six years in, but only 5% done.noon’s mission: Ring every doorbell, everyday.What you'll do:Team noon has some of the fastest, smartest, and hardest-working people we've encountered.With a young, aggressive, and talented team, we're driving major missions forward. We’re lookingfor people who have a passion for data and a knack for turning complex information into valuableinsights.Data Extraction & Analysis: Use SQL and Big Query to extract and manipulate large datasets from various sources to uncover trends, insights, and opportunities.Data Reporting: Develop and maintain reports and dashboards using Excel and other reporting tools to monitor key performance indicators (KPIs) and business metrics.Google Sheet Automations & Macros : Familiar with Google Looker studio reports.Business Insights: Collaborate with cross-functional teams, including operations, marketing, tech and finance teams, to translate data into actionable insights and recommendations for optimizing business performance.Data Quality: Ensure data accuracy, integrity, and consistency by performing regular audits and troubleshooting issues as they arise.Forecasting &; Modeling: Utilize data analytics to forecast business trends, demand patterns, and other operational metrics, especially in the e-commerce or logistics sector.Process Optimization: Identify and suggest improvements for operational processes based on data- driven insights.Stakeholder Communication: Present findings and insights to both technical and non-technical stakeholders in a clear and concise manner.What you’ll need?Prior experience for at least 1 year in the e-commerce or logistics sector is highly desirable.Bachelor’s degree in Data Science/ Statistics/ Economics/Computer Science, or a related field is preferred.Advanced proficiency in SQL for querying and analyzing data.Experience in working with Big Query for large-scale data storage and analytics.Strong command of Excel, including pivot tables, VLOOKUP, macros and data visualization.Familiarity with visualization tools such as Tableau, Power BI, or Google Data Studio is a plus.Excellent analytical and problem-solving skills with a keen eye for detail.Ability to effectively communicate complex data findings to both technical and non-technical stakeholders.Who will excel?We’re looking for people with high standards, who understand that hard work matters.You need to be relentlessly resourceful and operate with a deep bias for action.We need people with the courage to be fiercely original.noon is not for everyone; readiness to adapt, pivot, and learn is essential.",Entry level,Full-time,"Retail, Transportation, Logistics, Supply Chain and Storage, and Internet Marketplace Platforms",2025-05-21T00:00:00.000Z,0,1,1,1,1,1,0,1,0,0
data analyst,EaseMyTrip.com,"Mumbai, Maharashtra, India","About the RoleAs a Data Analyst at EaseMyTrip.com, you will be crucial in analyzing travel data to drive business insights and decisions. Your role involves harnessing large sets of data to identify trends, forecast demand, and optimize our services to enhance customer satisfaction. You will collaborate closely with various departments, including marketing, sales, and customer service, to support our mission of delivering exceptional travel experiences. This position is key to driving data-driven strategies that improve our operational efficiency and market positioning.Role & ResponsibilitiesData Collection and Management: Gather data from multiple sources, ensuring accuracy and integrity in data handling.Statistical Analysis: Apply statistical techniques to analyze data and generate useful business insights.Trend Identification: Identify patterns and trends in complex data sets to aid in prediction and decision-making processes.Reporting: Develop regular reports on key metrics for internal teams to monitor and analyze business performance.Data Visualization: Create effective charts, graphs, and dashboards to represent data visually for easier comprehension and presentation.Collaborative Analysis: Work with cross-functional teams to address business challenges and identify data-driven solutions.Performance Monitoring: Track the effectiveness of data-driven initiatives and recommend improvements based on outcomes.Advanced Analytics: Use advanced analytic techniques such as machine learning or predictive modeling to enhance business forecasts and strategies.Database Management: Maintain databases, ensuring both the security of sensitive data and the accessibility for user queries.Ad Hoc Analysis: Perform ad hoc analysis as needed to assist with urgent business decisions or strategic planning.Preferred Candidate ProfileAnalytical Skills: Strong background in statistical analysis, data interpretation, and turning data into actionable insights.Technical Proficiency: Proficient with SQL databases, Python or R, and data visualization tools such as Tableau or PowerBI.Experience with Big Data: Familiarity with big data technologies and frameworks, including Hadoop or Spark.Detail-Oriented: Ability to meticulously analyze complex data while maintaining accuracy and focus on minute details.Problem-Solving: Excellent problem-solving skills to identify solutions based on data analysis.Communication Skills: Strong ability to communicate complex data in a clear and effective manner to non-technical stakeholders.Educational Background: Preferably a degree in Statistics, Mathematics, Computer Science, or a related field.Project Management: Experience in managing projects, including planning, executing, and tracking analytics projects.Team Collaboration: Ability to work effectively in team environments, collaborating with both technical and non-technical team members.Industry Knowledge: Knowledge of the travel industry is a plus, with an understanding of its data sources and key performance metrics.",Associate,Full-time,Travel Arrangements,2025-05-12T00:00:00.000Z,1,1,1,0,1,1,1,1,0,0
data analyst,Tech Mahindra,"Bengaluru, Karnataka, India","The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with dataCompile and analyze data related to business' issuesDevelop clear visualizations to convey complicated data in a straightforward fashionQualificationsCollibra Data DeveloperExp : 3 - 7 yearsJob Location : Pan India ( Any Tech M Location)JD Hands on experience in Collibra Workflow & IntegrationAt least 3 years of experience in data management, data governance, or a related role.Proficiency in using the Collibra platform and its various modules.Strong understanding of data governance principles and best practices Experience with data quality tools and techniques. Experience in workflow and integration is mustProficiency in SQL, ETL processes, and data integration technologies.Knowledge of programming languages such as Python, Java, or JavaScript is a plus.",Mid-Senior level,Full-time,Information Services,2025-05-05T00:00:00.000Z,1,1,0,0,0,1,0,0,0,0
healthcare data analyst,Infosys,"Bengaluru East, Karnataka, India","Healthcare Data analyst ,PL/SQL, SQL, Data mapping, STTM creation, Data profiling, ReportsA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!",Mid-Senior level,Full-time,IT Services and IT Consulting,2025-05-17T00:00:00.000Z,0,1,0,0,0,1,0,0,0,0
data analyst,Medanta,"Gurugram, Haryana, India","Role & Responsibility1. Sales Data Management & Reporting•Compile, clean, and analyze sales performance data across all hospital units and verticals (corporates, PSUs, TPAs, wellness, etc.).•Generate daily, weekly, and monthly dashboards and MIS reports to track revenue, patient footfalls, lead conversion, and performance against targets.2.LeadSquared CRM Data Analysis•Extract and analyze lead data from LeadSquared CRM to monitor funnel efficiency, lead quality, source performance, and sales closures.•Track lead movement across stages—allocation, follow-up, conversion, and reengagement—and highlight drop-offs and bottlenecks.•Collaborate with BD teams to improve usage, compliance, and quality of data entry in LeadSquared.3.KPI Monitoring & Forecasting•Maintain key sales KPIs including revenue vs. target, lead-to-admission ratio, unit wise growth, AR trends, and DSO metrics.•Support sales forecasting and performance benchmarking for monthly and Quaterly reviews.4.Strategic Insight & Executive Support•Provide actionable insights to the National Sales Head for key initiatives such as regional sales performance, campaign ROI, and new vertical evaluation.•Assist in building boardleveland leadership presentations with visual data summaries and trends.5.Crossfunctional Coordination•Work with marketing, finance, billing, and hospital operations teams to ensure alignment and accuracy of data across systems.•Reconcile CRM data (LeadSquared) with finance/billing records to ensure accurate reporting and reduce anomalies.6.Automation & Data Quality Improvement•Develop automated reports and real-time dashboards using Excel, Power BI, or Google Data Studio integrated with LeadSquared.•Monitor CRM hygiene, drive SOPs for data governance, and support training for end users on CRM compliance and analytics.Skills RequiredLeadSquared CRM Expertise Sales Analytics & KPI TrackingAdvanced Excel & Reporting ToolsBusiness Acumen & Strategic ThinkingAttention to Detail & Cross-functional Collaboration",Mid-Senior level,Full-time,Hospitals and Health Care,2025-05-17T00:00:00.000Z,0,0,1,1,0,1,0,0,0,0
business intelligence,MakeMyTrip,"Gurugram, Haryana, India","Role: Business IntelligenceLevel: Deputy ManagerReporting To: Vice President - B2BLocation: GurgaonAbout the Function:myPartner, a strategic business unit of the MakeMyTrip Group launched in 2020, is revolutionizing the travel industry by offering seamless, real-time access to a diverse range of travel products, including domestic and international hotels, flights, and holiday packages. Designed to empower travel agent partners across the country, myPartner has rapidly scaled, now serving over 49,000 active agents.With innovation at its core, we are constantly evolving to deliver cutting-edge solutions that enable our partners to thrive in a competitive and dynamic market, driving growth and success for their businesses.About the Role:As the lead for Business Intelligence, you responsible for identifying opportunities/gaps in the different market and category of Travel agents, collaborating with stakeholders for strategizing and building optimum GTM processes and be a pivot for overall business growth. The ideal candidate for the role is an independent, self-starter, quick-witted, entrepreneurial, and intellectually curious individual. This person must excel at crossfunctional collaboration, combine creativity with organisational skills, have a knack of identifying opportunity areas as well as blind spots for building and accelerating demand from the markets spread across the countryWhat will you be doing:Prime objective of identification of growth areas, opportunity sizing and gap analysis for the business function. Understanding and dissecting different markets in terms of potential, opportunities, competition landscape and levers for accelerated growth. Ideating and devising of market/geography wise deliverables for Demand team wrt Local flavour, Business dynamics, Bias towards a particular sub-LoB Working closely with the regional demand teams to strategize and execute regional initiatives and drives. Responsible of overview, measure and course correction for such initiatives so that they build up on overall LOB deliverables. Creation and Management of Travel B2B knowledge bank- Competition offers, features and their GTM. Increase efficacy and deliverables of critical initiatives such as Credit & loyalty programmes in addition to other time bound offers and promotions, Post sales & other allied initiativesQualification and Experience:B. Tech from reputed institute with 6-8 years of experience in data analytics (SQL & Advanced Excel), analyzing data trends and reporting.Key Success Factors for the Role: Mindset that will constantly think about business growth, overcoming challenges and solving real life business problems. Passion for data and an exceptional ability to identify gaps/trends Strong comm skills, influencing skills, great interpersonal & stakeholder management skills. High on energy, team player coupled with a great attitude.",Associate,Full-time,Internet Marketplace Platforms,2025-05-23T00:00:00.000Z,0,1,1,0,0,1,0,0,0,0
